DATE,TIME,1MIN,6MIN,ALTERNATE,PREDICTED,RESIDUAL
3/11/2011,5:43,0.52,-,-,-,-
3/11/2011,5:44,0.52,-,-,-,-
3/11/2011,5:45,0.51,-,-,-,-
3/11/2011,5:46,0.51,-,-,-,-
3/11/2011,5:47,0.51,-,-,-,-
3/11/2011,5:48,0.53,0.52,1.32,0.56,-0.03
3/11/2011,5:49,0.51,-,-,0.56,-0.05
3/11/2011,5:50,0.53,-,-,0.56,-0.03
3/11/2011,5:51,0.52,-,-,0.56,-0.04
3/11/2011,5:52,0.52,-,-,0.56,-0.04
3/11/2011,5:53,0.52,-,-,0.56,-0.04
3/11/2011,5:54,0.52,0.52,1.32,0.56,-0.04
3/11/2011,5:55,0.52,-,-,0.56,-0.04
3/11/2011,5:56,0.53,-,-,0.56,-0.03
3/11/2011,5:57,0.52,-,-,0.56,-0.04
3/11/2011,5:58,0.54,-,-,0.55,-0.01
3/11/2011,5:59,0.53,-,-,0.55,-0.02
3/11/2011,6:00,-,0.54,1.32,0.55,-
3/11/2011,6:01,0.53,-,-,0.55,-0.02
3/11/2011,6:02,0.54,-,-,0.55,-0.01
3/11/2011,6:03,0.53,-,-,0.55,-0.02
3/11/2011,6:04,0.51,-,-,0.55,-0.04
3/11/2011,6:05,0.52,-,-,0.55,-0.03
3/11/2011,6:06,0.52,0.52,1.33,0.55,-0.03
3/11/2011,6:07,0.52,-,-,0.55,-0.03
3/11/2011,6:08,0.5,-,-,0.55,-0.05
3/11/2011,6:09,0.5,-,-,0.55,-0.05
3/11/2011,6:10,0.51,-,-,0.55,-0.04
3/11/2011,6:11,0.51,-,-,0.55,-0.04
3/11/2011,6:12,0.5,0.51,1.31,0.55,-0.05
3/11/2011,6:13,0.51,-,-,0.55,-0.04
3/11/2011,6:14,0.5,-,-,0.55,-0.05
3/11/2011,6:15,0.49,-,-,0.55,-0.06
3/11/2011,6:16,0.5,-,-,0.55,-0.05
3/11/2011,6:17,0.48,-,-,0.55,-0.07
3/11/2011,6:18,0.5,0.5,1.3,0.55,-0.05
3/11/2011,6:19,0.5,-,-,0.55,-0.05
3/11/2011,6:20,0.5,-,-,0.55,-0.05
3/11/2011,6:21,0.52,-,-,0.55,-0.03
3/11/2011,6:22,0.53,-,-,0.54,-0.01
3/11/2011,6:23,0.53,-,-,0.54,-0.01
3/11/2011,6:24,0.54,0.53,1.29,0.54,0
3/11/2011,6:25,0.52,-,-,0.54,-0.02
3/11/2011,6:26,0.52,-,-,0.54,-0.02
3/11/2011,6:27,0.52,-,-,0.54,-0.02
3/11/2011,6:28,0.52,-,-,0.54,-0.02
3/11/2011,6:29,0.5,-,-,0.54,-0.04
3/11/2011,6:30,0.51,0.5,1.33,0.54,-0.03
3/11/2011,6:31,0.47,-,-,0.54,-0.07
3/11/2011,6:32,0.48,-,-,0.54,-0.06
3/11/2011,6:33,0.48,-,-,0.54,-0.06
3/11/2011,6:34,0.5,-,-,0.53,-0.03
3/11/2011,6:35,0.5,-,-,0.53,-0.03
3/11/2011,6:36,0.49,0.49,1.3,0.53,-0.04
3/11/2011,6:37,0.49,-,-,0.53,-0.04
3/11/2011,6:38,0.5,-,-,0.53,-0.03
3/11/2011,6:39,0.51,-,-,0.53,-0.02
3/11/2011,6:40,0.51,-,-,0.53,-0.02
3/11/2011,6:41,0.5,-,-,0.53,-0.03
3/11/2011,6:42,0.49,0.5,1.29,0.53,-0.04
3/11/2011,6:43,0.48,-,-,0.53,-0.05
3/11/2011,6:44,0.48,-,-,0.53,-0.05
3/11/2011,6:45,0.49,-,-,0.53,-0.04
3/11/2011,6:46,0.49,-,-,0.53,-0.04
3/11/2011,6:47,0.49,-,-,0.53,-0.04
3/11/2011,6:48,0.47,0.48,1.3,0.53,-0.06
3/11/2011,6:49,0.48,-,-,0.53,-0.05
3/11/2011,6:50,0.49,-,-,0.53,-0.04
3/11/2011,6:51,0.5,-,-,0.53,-0.03
3/11/2011,6:52,0.48,-,-,0.52,-0.04
3/11/2011,6:53,0.49,-,-,0.52,-0.03
3/11/2011,6:54,0.47,0.48,1.28,0.52,-0.05
3/11/2011,6:55,0.47,-,-,0.52,-0.05
3/11/2011,6:56,0.48,-,-,0.52,-0.04
3/11/2011,6:57,0.48,-,-,0.52,-0.04
3/11/2011,6:58,0.47,-,-,0.52,-0.05
3/11/2011,6:59,0.48,-,-,0.52,-0.04
3/11/2011,7:00,0.47,0.47,1.27,0.52,-0.05
3/11/2011,7:01,0.47,-,-,0.52,-0.05
3/11/2011,7:02,0.5,-,-,0.52,-0.02
3/11/2011,7:03,0.5,-,-,0.52,-0.02
3/11/2011,7:04,0.49,-,-,0.51,-0.02
3/11/2011,7:05,0.49,-,-,0.51,-0.02
3/11/2011,7:06,0.47,0.48,1.26,0.51,-0.04
3/11/2011,7:07,0.48,-,-,0.51,-0.03
3/11/2011,7:08,0.48,-,-,0.51,-0.03
3/11/2011,7:09,0.47,-,-,0.51,-0.04
3/11/2011,7:10,0.46,-,-,0.5,-0.04
3/11/2011,7:11,0.46,-,-,0.5,-0.04
3/11/2011,7:12,0.45,0.46,1.28,0.5,-0.05
3/11/2011,7:13,0.46,-,-,0.5,-0.04
3/11/2011,7:14,0.46,-,-,0.5,-0.04
3/11/2011,7:15,0.46,-,-,0.5,-0.04
3/11/2011,7:16,0.47,-,-,0.5,-0.03
3/11/2011,7:17,0.46,-,-,0.5,-0.04
3/11/2011,7:18,0.46,0.47,1.26,0.5,-0.04
3/11/2011,7:19,0.47,-,-,0.5,-0.03
3/11/2011,7:20,0.46,-,-,0.5,-0.04
3/11/2011,7:21,0.46,-,-,0.5,-0.04
3/11/2011,7:22,0.47,-,-,0.49,-0.02
3/11/2011,7:23,0.45,-,-,0.49,-0.04
3/11/2011,7:24,0.47,0.46,1.26,0.49,-0.02
3/11/2011,7:25,0.46,-,-,0.49,-0.03
3/11/2011,7:26,0.43,-,-,0.49,-0.06
3/11/2011,7:27,0.44,-,-,0.49,-0.05
3/11/2011,7:28,0.45,-,-,0.49,-0.04
3/11/2011,7:29,0.44,-,-,0.49,-0.05
3/11/2011,7:30,0.44,0.44,1.26,0.49,-0.05
3/11/2011,7:31,0.43,-,-,0.49,-0.06
3/11/2011,7:32,0.45,-,-,0.49,-0.04
3/11/2011,7:33,0.44,-,-,0.49,-0.05
